,leiden_0.5,leiden_1,leiden_2,UMAP1,UMAP2
E7.5:injection5:clone_84,7,11,14,2.4071944,9.604305
E7.5:injection5:clone_846,6,9,9,-1.2975264,0.9534305
E7.5:injection5:clone_85,0,3,1,13.170578,-0.11402088
E7.5:injection5:clone_86,7,11,14,2.131769,9.274446
E7.5:injection5:clone_864,4,7,5,9.473461,-4.315947
E7.5:injection5:clone_87,0,3,4,14.871421,1.0153137
E7.5:injection5:clone_870,2,0,6,-0.30983526,3.8054457
E7.5:injection5:clone_887,1,2,10,8.470558,-1.4902142
E7.5:injection5:clone_89,5,5,0,13.896444,-5.262099
E7.5:injection5:clone_897,4,7,5,10.008791,-4.69149
E7.5:injection5:clone_9,1,6,13,11.546781,-4.8562274
E7.5:injection5:clone_90,3,1,7,16.274334,3.5983171
E7.5:injection5:clone_92,3,1,7,16.348589,3.2403011
E7.5:injection5:clone_93,3,1,16,16.616978,3.8055975
