,leiden_0.5,leiden_1,leiden_2,perturbation,UMAP1,UMAP2
E7.5:injection10:clone_742,0,11,16,Lrp2,8.052714,9.948707
E7.5:injection10:clone_744,1,0,9,Lgr4,13.791011,6.432193
E7.5:injection10:clone_745,5,6,15,multi_gRNA,8.288502,4.696882
E7.5:injection10:clone_746,1,0,2,Fgfr1,12.058912,7.8467436
E7.5:injection10:clone_748,2,1,1,Acvr2a,12.706212,0.8627221
E7.5:injection10:clone_749,1,0,10,Acvr2a,12.070335,6.600418
E7.5:injection10:clone_750,0,2,2,Fzd2,11.563392,9.480898
E7.5:injection10:clone_752,1,0,11,Fgfr1,12.32852,7.2335677
E7.5:injection10:clone_753,1,0,2,Lgr4,12.685469,8.374987
E7.5:injection10:clone_754,4,3,5,Fgfr1,12.8989525,4.017573
E7.5:injection10:clone_755,1,0,9,Acvr2a,13.985835,7.435879
E7.5:injection10:clone_757,4,3,5,EGFP-1,11.895784,3.9699752
E7.5:injection10:clone_758,4,3,5,EGFP-1,12.5385895,4.2949247
E7.5:injection10:clone_759,0,5,3,Acvr2a,7.71773,11.7593
E7.5:injection10:clone_760,0,2,7,Lgr4,9.893389,11.81682
E7.5:injection10:clone_761,1,0,10,multi_gRNA,13.151502,6.903882
E7.5:injection10:clone_762,1,0,10,Fzd2,12.546436,6.892747
E7.5:injection10:clone_763,2,1,0,Lrp2,11.539046,-0.32880047
E7.5:injection10:clone_764,5,8,4,Fgfr1,7.831277,1.3686799
E7.5:injection10:clone_765,1,0,11,Lgr4,14.73968,7.0048075
E7.5:injection10:clone_766,1,0,11,Fgfr1,13.935297,6.99554
E7.5:injection10:clone_767,1,0,11,Lrp2,14.159747,7.681849
E7.5:injection10:clone_768,1,0,9,EGFP-1,13.66002,6.250849
E7.5:injection10:clone_769,1,0,9,Fzd2,13.448548,6.4211507
E7.5:injection10:clone_770,1,0,10,Lgr4,11.653282,7.320421
E7.5:injection10:clone_771,0,5,3,multi_gRNA,7.700562,11.310637
E7.5:injection10:clone_772,0,5,3,Lgr4,7.7251897,11.419433
